,SA2_MAIN16,Neighbour0
1180,113031264,113031271
1181,113031264,113021262
1182,113031264,101061542
1183,113031264,113031263
1184,113031265,113031266
1185,113031265,113031271
1186,113031265,113031263
1187,113031265,113031264
1188,113031266,103021069
1189,113031266,113031265
1190,113031266,113011259
1191,113031266,113031271
1192,113031266,101061544
1193,113031266,113031263
1194,113031267,113031268
1195,113031267,113031269
1196,113031267,113031270
1197,113031267,113031271
1198,113031268,113031267
1199,113031268,113031270
1200,113031268,113031271
1201,113031269,113031267
1202,113031269,113031270
1203,113031269,113031271
1204,113031270,113031267
1205,113031270,113031268
1206,113031270,113031269
1207,113031270,113031271
1208,113031271,113031267
1209,113031271,113031268
1210,113031271,113031265
1211,113031271,113011259
1212,113031271,113031266
1213,113031271,113031269
1214,113031271,113031270
1215,113031271,109011175
1216,113031271,109031181
1217,113031271,113021260
1218,113031271,113021262
1219,113031271,113031264
1220,114011272,114011277
1221,114011272,107031140
1222,114011272,114021288
1223,114011272,114011281
1224,114011272,114011274
1225,114011272,114011275
1226,114011273,114011281
1227,114011273,114011276
1228,114011273,114011278
1229,114011273,114011274
1230,114011274,114011272
1231,114011274,114011277
1232,114011274,114011273
1233,114011274,114011278
1234,114011275,114011272
1235,114011275,114021288
1236,114011275,114011281
1237,114011275,101041024
1238,114011275,101021007
1239,114011275,114011283
1240,114011275,101051540
1241,114011276,114011281
1242,114011276,114011279
1243,114011276,114011273
1244,114011277,114011272
1245,114011277,114011281
1246,114011277,114011278
1247,114011277,114011274
1248,114011278,114011277
1249,114011278,114011281
1250,114011278,114011273
1251,114011278,114011274
1252,114011279,114011280
1253,114011279,114011281
1254,114011279,114011276
1255,114011280,114011281
1256,114011280,114011279
1257,114011280,114011283
1258,114011281,114011272
1259,114011281,114011277
1260,114011281,114011280
1261,114011281,114011279
1262,114011281,114011276
1263,114011281,114011273
1264,114011281,114011278
1265,114011281,114011283
1266,114011281,114011275
1267,114011282,114011283
1268,114011283,114011280
1269,114011283,114011281
1270,114011283,101041024
1271,114011283,114011275
1272,114011283,114011282
1273,114021284,114021288
1274,114021284,114021286
1275,114021284,114021287
1276,114021284,114021289
1277,114021285,114021286
1278,114021285,123031447
1279,114021285,107021135
1280,114021285,123031445
1281,114021285,114021289
1282,114021286,114021288
1283,114021286,114021285
1284,114021286,107021135
1285,114021286,114021284
1286,114021286,114021289
1287,114021287,114021288
1288,114021287,114021284
1289,114021287,114021289
1290,114021288,114011272
1291,114021288,107031140
1292,114021288,107031136
1293,114021288,114021286
1294,114021288,107021135
1295,114021288,114011275
1296,114021288,101051540
1297,114021288,114021284
1298,114021288,114021287
1299,114021288,114021289
1300,114021289,114021288
1301,114021289,124021456
1302,114021289,114021285
1303,114021289,114021286
1304,114021289,123031447
1305,114021289,101051540
1306,114021289,114021284
1307,114021289,114021287
1308,115011290,115011556
1309,115011290,115011296
1310,115011290,115011553
1311,115011290,115011291
1312,115011290,125041491
1313,115011290,125041494
1314,115011290,125041490
1315,115011291,115011557
1316,115011291,115011553
1317,115011291,115011559
1318,115011291,116021309
1319,115011291,115011290
1320,115011291,116011307
1321,115011291,125041494
1322,115011294,115021297
1323,115011294,115041302
1324,115011294,115011555
1325,115011294,115011554
1326,115011294,115011559
1327,115011296,126011496
1328,115011296,115011554
1329,115011296,115011556
1330,115011296,115011558
1331,115011296,115011290
1332,115011296,125021476
1333,115011296,125041490
1334,115011553,115011555
1335,115011553,115011557
1336,115011553,115011556
1337,115011553,115011291
1338,115011553,115011290
1339,115011554,115021297
1340,115011554,115011555
1341,115011554,115011294
1342,115011554,115011556
1343,115011554,115011296
1344,115011554,115011558
1345,115011555,115011554
1346,115011555,115011557
1347,115011555,115011294
1348,115011555,115011556
1349,115011555,115011553
1350,115011555,115011559
1351,115011556,115011555
1352,115011556,115011554
